,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
3675,2017 Maruti Wagon R LXI BS IV,₹ 3.53 Lakh,Jun 2017,998 cc,Third Party,Manual,"88,437 Kms",First Owner,Petrol,67.04bhp,5.0,20.51 kmpl,Hatchback,Ahmedabad
3676,2018 Honda Amaze S Petrol BSIV,₹ 6.42 Lakh,Jun 2018,1199 cc,Third Party,Manual,"45,977 Kms",First Owner,Petrol,88.76bhp,5.0,19.5 kmpl,Sedan,Ahmedabad
3677,2014 Hyundai i10 Magna 1.1L,₹ 3.12 Lakh,Jun 2014,1086 cc,Third Party,Manual,"74,418 Kms",Second Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3678,2017 Honda BR-V i-DTEC S MT,₹ 6.39 Lakh,Jul 2017,1498 cc,Third Party insurance,Manual,"64,898 Kms",First Owner,Diesel,98.6bhp,7.0,21.9 kmpl,SUV,Ahmedabad
3679,2012 Honda Jazz Select Edition,₹ 2.60 Lakh,2012,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,,,16.7 kmpl,Hatchback,Ahmedabad
3680,2011 Maruti Alto LXi,₹ 1.50 Lakh,2011,796 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,46.3bhp,5.0,19.7 kmpl,Hatchback,Ahmedabad
3681,2016 Datsun GO Plus T Option BSIV,₹ 4 Lakh,2016,1198 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,67bhp,7.0,19.44 kmpl,MUV,Ahmedabad
3682,2016 Hyundai Grand i10 Sportz CNG,₹ 4.65 Lakh,2016,1197 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Petrol,82bhp,5.0,25 kmpl,Hatchback,Ahmedabad
3683,2016 Renault KWID RXT,₹ 2.30 Lakh,2016,799 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,53.3bhp,5.0,25.17 kmpl,Hatchback,Ahmedabad
3684,2014 Honda City i DTEC V,₹ 5.10 Lakh,2014,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,98.6bhp,5.0,26 kmpl,Sedan,Ahmedabad
3685,2016 Maruti Ciaz VDi Plus SHVS,₹ 4.30 Lakh,2016,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,88.5bhp,5.0,28.09 kmpl,Sedan,Ahmedabad
3686,2017 Maruti Celerio VXI,₹ 3.80 Lakh,2017,998 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,67.04bhp,5.0,23.1 kmpl,Hatchback,Ahmedabad
3687,2020 Maruti Wagon R CNG LXI,₹ 5.87 Lakh,Jul 2020,998 cc,Zero Dep,Manual,"60,468 Kms",First Owner,CNG,58.33bhp,5.0,32.52 kmpl,Hatchback,Ahmedabad
3688,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹ 4.67 Lakh,Aug 2018,1197 cc,Zero Dep,Manual,"57,944 Kms",First Owner,Petrol,81.86bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3689,2017 Maruti Ignis 1.2 AMT Zeta BSIV,₹ 5.16 Lakh,Mar 2017,1197 cc,Zero Dep,Automatic,"27,818 Kms",First Owner,Petrol,81.80bhp,5.0,20.89 kmpl,Hatchback,Ahmedabad
3690,2016 Volkswagen Ameo 1.2 MPI Highline,₹ 4.12 Lakh,Oct 2016,1198 cc,Comprehensive,Manual,"1,05,297 Kms",First Owner,Petrol,73.75bhp,5.0,17 kmpl,Sedan,Ahmedabad
3691,2016 Honda Jazz 1.2 VX i VTEC,₹ 4.42 Lakh,Jun 2016,1199 cc,Third Party,Manual,"34,902 Kms",Third Owner,Petrol,88.7bhp,5.0,18.7 kmpl,Hatchback,Ahmedabad
3692,2019 Hyundai Santro Sportz AMT BSIV,₹ 5.04 Lakh,Feb 2019,1086 cc,Zero Dep,Automatic,"49,705 Kms",First Owner,Petrol,68bhp,5.0,20.3 kmpl,Hatchback,Ahmedabad
3693,2017 Maruti Alto 800 VXI,₹ 3.04 Lakh,Nov 2017,796 cc,Third Party,Manual,"83,251 Kms",First Owner,Petrol,47.33bhp,5.0,22.05 kmpl,Hatchback,Ahmedabad
3694,2019 Maruti Swift VXI AMT,₹ 5.82 Lakh,Nov 2019,1197 cc,Third Party,Automatic,"42,455 Kms",First Owner,Petrol,88.50bhp,5.0,22.56 kmpl,Hatchback,Ahmedabad
3695,2017 Maruti SX4 S Cross DDiS 200 Delta,₹ 5.62 Lakh,Jan 2018,1248 cc,Third Party insurance,Manual,"50,669 Kms",First Owner,Diesel,88.5bhp,5.0,23.65 kmpl,SUV,Ahmedabad
3696,2015 Maruti Swift Dzire VXI,₹ 5.25 Lakh,Dec 2015,1197 cc,Third Party,Manual,"43,204 Kms",First Owner,Petrol,88.50bhp,5.0,22.41 kmpl,Sedan,Ahmedabad
3697,2017 Maruti Wagon R VXI BS IV,₹ 3.81 Lakh,Jan 2018,998 cc,Third Party insurance,Manual,"39,915 Kms",First Owner,Petrol,67.04bhp,5.0,20.51 kmpl,Hatchback,Ahmedabad
3698,2014 Hyundai i10 Magna 1.1L,₹ 3.28 Lakh,Dec 2014,1086 cc,Third Party,Manual,"59,450 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3699,2023 MG Astor Savvy CVT BSVI,₹ 13.20 Lakh,2023,1498 cc,Third Party insurance,Automatic,"10,000 Kms",First Owner,Petrol,108.49bhp,5.0,14.82 kmpl,SUV,Ahmedabad
3700,2015 Mercedes-Benz C-Class C 220 CDI Avantgarde,₹ 18 Lakh,2015,2143 cc,Third Party insurance,Automatic,"1,00,000 Kms",First Owner,Diesel,170bhp,5.0,19.27 kmpl,Sedan,Ahmedabad
3701,2014 Hyundai EON Era Plus,₹ 2 Lakh,2014,814 cc,Third Party insurance,Manual,"1,10,000 Kms",Second Owner,Petrol,55.2bhp,5.0,21.1 kmpl,Hatchback,Ahmedabad
3702,2011 Maruti Zen Estilo VXI BSIV,₹ 1.35 Lakh,2011,998 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Petrol,67.1bhp,5.0,19 kmpl,Hatchback,Ahmedabad
3703,2017 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹ 4.80 Lakh,2017,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.86bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3704,2009 Maruti Swift Dzire VDi,₹ 1.25 Lakh,2009,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,73.9bhp,5.0,19.3 kmpl,Sedan,Ahmedabad
3705,2019 Maruti Ciaz Delta Automatic BSIV,₹ 8.50 Lakh,2019,1462 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,103.25bhp,5.0,20.28 kmpl,Sedan,Ahmedabad
3706,2016 Maruti Eeco 5 Seater AC BSIV,₹ 4 Lakh,2016,1196 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,73bhp,5.0,15.37 kmpl,Minivans,Ahmedabad
3707,2017 Ford Ecosport 1.5 TDCi Titanium BSIV,₹ 5.72 Lakh,Jun 2017,1498 cc,Zero Dep,Manual,"1,06,683 Kms",Second Owner,Diesel,98.59bhp,5.0,22.77 kmpl,SUV,Ahmedabad
3708,2014 Hyundai i10 Magna 1.1L,₹ 3.28 Lakh,Dec 2014,1086 cc,Comprehensive,Manual,"43,003 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3709,2020 Maruti Vitara Brezza ZXI Plus,₹ 9.17 Lakh,Feb 2021,1462 cc,Comprehensive,Manual,"36,450 Kms",First Owner,Petrol,103.26bhp,5.0,17.03 kmpl,SUV,Ahmedabad
3710,2013 Hyundai EON Era Plus,₹ 2.42 Lakh,Oct 2013,814 cc,Comprehensive,Manual,"30,058 Kms",First Owner,Petrol,55.2bhp,5.0,21.1 kmpl,Hatchback,Ahmedabad
3711,2010 Honda City 1.5 S MT,₹ 2.85 Lakh,Sept 2010,1497 cc,Comprehensive,Manual,"82,410 Kms",First Owner,Petrol,"118PS at 6,600 rpm",5.0,17 kmpl,Sedan,Ahmedabad
3712,2017 Maruti Ignis 1.2 Alpha BSIV,₹ 4.74 Lakh,Jun 2017,1197 cc,Comprehensive,Manual,"49,433 Kms",Second Owner,Petrol,81.80bhp,5.0,20.89 kmpl,Hatchback,Ahmedabad
3713,2017 Honda WR-V i-DTEC VX,₹ 6.92 Lakh,Jul 2017,1498 cc,Third Party insurance,Manual,"1,04,889 Kms",First Owner,Diesel,98.6bhp,5.0,25.5 kmpl,SUV,Ahmedabad
3714,2019 Kia Seltos HTX Plus Diesel,₹ 14 Lakh,Jun 2019,1493 cc,Third Party,Manual,"40,572 Kms",First Owner,Diesel,113.43bhp,5.0,20.8 kmpl,SUV,Ahmedabad
3715,2014 Hyundai i10 Magna,₹ 3.09 Lakh,Jun 2014,1197 cc,Third Party,Manual,"1,04,933 Kms",Second Owner,Petrol,78.9bhp,5.0,20.36 kmpl,Hatchback,Ahmedabad
3716,2014 Hyundai Xcent 1.2 Kappa S,₹ 4.48 Lakh,Jun 2014,1197 cc,Comprehensive,Manual,"71,910 Kms",First Owner,Petrol,82bhp,5.0,19.1 kmpl,Sedan,Ahmedabad
3717,2016 Honda Jazz 1.2 V AT i VTEC,₹ 5.98 Lakh,Jun 2016,1199 cc,Comprehensive,Automatic,"29,478 Kms",First Owner,Petrol,88.7bhp,5.0,19 kmpl,Hatchback,Ahmedabad
3718,2013 Maruti Wagon R LXI BS IV,₹ 2.89 Lakh,Jun 2013,998 cc,Third Party,Manual,"1,23,031 Kms",First Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3719,2016 Maruti Eeco 5 Seater AC BSIV,₹ 4 Lakh,2016,1196 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,73bhp,5.0,15.37 kmpl,Minivans,Ahmedabad
3720,2020 Ford Ecosport Sports Diesel,₹ 9 Lakh,2020,1498 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,98.96bhp,5.0,21.7 kmpl,SUV,Ahmedabad
3721,2017 Tata Tiago 1.2 Revotron XT Option,₹ 3 Lakh,2017,1199 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Petrol,84bhp,5.0,23.84 kmpl,Hatchback,Ahmedabad
3722,2016 Honda Amaze S i-VTEC,₹ 4.99 Lakh,2016,1198 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,86.7bhp,5.0,17.8 kmpl,Sedan,Ahmedabad
3723,2007 Hyundai Getz GLX,"₹ 80,000",2007,1341 cc,Third Party insurance,Manual,"1,10,000 Kms",Second Owner,Petrol,83 PS,5.0,15.3 kmpl,Hatchback,Ahmedabad
3724,2016 Skoda Rapid 1.5 TDI AT Style BSIV,₹ 5.70 Lakh,2016,1498 cc,Third Party insurance,Automatic,"70,000 Kms",Second Owner,Diesel,108.6bhp,5.0,21.72 kmpl,Sedan,Ahmedabad
3725,2020 Hyundai Santro Sportz AMT BSIV,₹ 4.80 Lakh,2020,1086 cc,Third Party insurance,Automatic,"60,000 Kms",First Owner,Petrol,68bhp,5.0,20.3 kmpl,Hatchback,Ahmedabad
3726,2017 Hyundai Verna 1.6 CRDi S,₹ 6.98 Lakh,Jun 2017,1582 cc,Third Party,Manual,"80,405 Kms",Second Owner,Diesel,126.2bhp,5.0,23.9 kmpl,Sedan,Ahmedabad
3727,2021 Mahindra XUV500 W7,₹ 14.18 Lakh,Jun 2021,2179 cc,Third Party,Manual,"22,468 Kms",First Owner,Diesel,152.87bhp,7.0,15.1 kmpl,SUV,Ahmedabad
3728,2018 Hyundai EON Era Plus,₹ 3.37 Lakh,Jun 2018,814 cc,Third Party,Manual,"10,250 Kms",Second Owner,Petrol,55.2bhp,5.0,21.1 kmpl,Hatchback,Ahmedabad
3729,2020 Hyundai Santro Sportz Executive CNG,₹ 5.71 Lakh,Jun 2020,1086 cc,Comprehensive,Manual,"78,088 Kms",First Owner,CNG,59.18bhp,5.0,30.48 km/kg,Hatchback,Ahmedabad
3730,2012 Maruti Wagon R VXI BS IV,₹ 2.79 Lakh,Jun 2012,998 cc,Comprehensive,Manual,"50,989 Kms",First Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3731,2019 Tata Harrier XZ BSIV,₹ 15.76 Lakh,Jun 2019,1956 cc,Comprehensive,Manual,"33,765 Kms",First Owner,Diesel,138.1bhp,5.0,17 kmpl,SUV,Ahmedabad
3732,2013 Hyundai i10 Magna 1.1L,₹ 3.16 Lakh,Mar 2013,1086 cc,Comprehensive,Manual,"41,527 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3733,2016 Honda Jazz 1.2 V AT i VTEC,₹ 6.17 Lakh,Jul 2016,1199 cc,Third Party,Automatic,"29,463 Kms",First Owner,Petrol,88.7bhp,5.0,19 kmpl,Hatchback,Ahmedabad
3734,2017 Tata Tiago 1.2 Revotron XT,₹ 4.25 Lakh,Jun 2017,1199 cc,Comprehensive,Manual,"88,955 Kms",First Owner,Petrol,84bhp,5.0,23.84 kmpl,Hatchback,Ahmedabad
3735,2018 Maruti Alto 800 LXI,₹ 3.34 Lakh,Feb 2019,796 cc,Third Party,Manual,"23,199 Kms",First Owner,Petrol,47.33bhp,5.0,22.05 kmpl,Hatchback,Ahmedabad
3736,2016 Maruti Baleno 1.2 Delta,₹ 4.79 Lakh,Jun 2016,1197 cc,Zero Dep,Manual,"88,948 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Ahmedabad
3737,2018 Hyundai EON Magna Plus,₹ 3.23 Lakh,Sept 2018,814 cc,Third Party insurance,Manual,"34,487 Kms",First Owner,Petrol,55.2bhp,5.0,21.1 kmpl,Hatchback,Ahmedabad
3738,2016 Mahindra Scorpio Getaway,₹ 6 Lakh,2016,2179 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,120bhp,5.0,11 kmpl,SUV,Ahmedabad
3739,2021 MG Hector Sharp CVT,₹ 16.51 Lakh,2021,1451 cc,Third Party insurance,Automatic,"30,000 Kms",First Owner,Petrol,141bhp,5.0,,SUV,Ahmedabad
3740,2015 Mahindra XUV500 W8 1.99 mHawk,₹ 6.50 Lakh,2015,1997 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,140bhp,7.0,16 kmpl,SUV,Ahmedabad
3741,2017 Tata Zest Quadrajet 1.3 XT,₹ 4.21 Lakh,2017,1248 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Diesel,88.7bhp,5.0,20.65 kmpl,Sedan,Ahmedabad
3742,2015 Skoda Fabia 1.2 TDI Ambition Plus,₹ 3 Lakh,2015,1199 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,75bhp,5.0,20.86 kmpl,Hatchback,Ahmedabad
3743,2022 Tata Nexon XZ Plus HS,₹ 12.19 Lakh,2022,1199 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,118.36bhp,5.0,17.57 kmpl,SUV,Ahmedabad
3744,2009 Honda City 1.5 E MT,₹ 1.75 Lakh,2009,1497 cc,Third Party insurance,Manual,"90,000 Kms",Fourth Owner,Petrol,"118PS at 6,600 rpm",5.0,17 kmpl,Sedan,Ahmedabad
3745,2011 Tata Indica Quadrajet VX,₹ 1.61 Lakh,2011,1248 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,74bhp,5.0,22.3 kmpl,Hatchback,Ahmedabad
3746,2022 Renault Triber RXL BSVI,₹ 6.35 Lakh,Jun 2022,999 cc,Third Party,Manual,"20,725 Kms",First Owner,Petrol,71.01bhp,7.0,20 kmpl,MUV,Ahmedabad
3747,2022 Tata Harrier XT plus 2020-2022,₹ 17.46 Lakh,Jun 2022,1956 cc,Third Party,Manual,"34,817 Kms",First Owner,Diesel,167.67bhp,5.0,16.35 kmpl,SUV,Ahmedabad
3748,2017 Maruti Ignis 1.2 AMT Zeta BSIV,₹ 4.89 Lakh,Jun 2017,1197 cc,Comprehensive,Automatic,"87,509 Kms",Second Owner,Petrol,81.80bhp,5.0,20.89 kmpl,Hatchback,Ahmedabad
3749,2018 Maruti Alto 800 LXI,₹ 3.34 Lakh,Jun 2018,796 cc,Third Party,Manual,"35,549 Kms",First Owner,Petrol,47.3bhp,5.0,24.7 kmpl,Hatchback,Ahmedabad
3750,2020 MG Hector Hybrid Super MT BSIV,₹ 14.52 Lakh,Jun 2020,1451 cc,Third Party,Manual,"28,113 Kms",First Owner,Petrol,141bhp,5.0,15.81 kmpl,SUV,Ahmedabad
3751,2017 Tata Tiago 1.2 Revotron XZ,₹ 3.99 Lakh,Jun 2017,1199 cc,Third Party,Manual,"99,555 Kms",First Owner,Petrol,84bhp,5.0,23.84 kmpl,Hatchback,Ahmedabad
3752,2022 Hyundai Creta S iMT BSVI,₹ 13.32 Lakh,Jun 2022,1497 cc,Third Party,Manual,"4,033 Kms",First Owner,Petrol,113.18bhp,5.0,,SUV,Ahmedabad
3753,2020 Hyundai Venue SX Opt Diesel,₹ 10.57 Lakh,Jun 2020,1493 cc,Third Party,Manual,"52,424 Kms",First Owner,Diesel,98.6bhp,5.0,23.7 kmpl,SUV,Ahmedabad
3754,2020 Maruti Wagon R CNG LXI Opt,₹ 5.98 Lakh,Jun 2020,998 cc,Comprehensive,Manual,"35,728 Kms",First Owner,CNG,58.33bhp,5.0,32.52 kmpl,Hatchback,Ahmedabad
3755,2013 Honda Amaze S i-Vtech,₹ 3.06 Lakh,Jun 2013,1198 cc,Third Party,Manual,"94,057 Kms",Second Owner,Petrol,86.7bhp,5.0,18 kmpl,Sedan,Ahmedabad
3756,2019 Maruti Alto 800 LXI CNG,₹ 3.74 Lakh,Jun 2019,796 cc,Third Party,Manual,"95,284 Kms",First Owner,CNG,47.3bhp,5.0,33 kmpl,Hatchback,Ahmedabad
3757,2016 Maruti Vitara Brezza VDi Option,₹ 6.52 Lakh,Jun 2016,1248 cc,Third Party,Manual,"98,147 Kms",First Owner,Diesel,88.5bhp,5.0,24.3 kmpl,SUV,Ahmedabad
3758,2019 Maruti Alto 800 LXI Opt CNG,₹ 4.75 Lakh,2019,796 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,CNG,47.3bhp,5.0,33 kmpl,Hatchback,Ahmedabad
3759,2022 Maruti XL6 Alpha Plus BSVI,₹ 13.77 Lakh,2022,1462 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,101.65bhp,6.0,20.97 kmpl,MUV,Ahmedabad
3760,2011 Hyundai i10 Era,₹ 2.50 Lakh,2011,1086 cc,Third Party insurance,Manual,"40,000 Kms",Second Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3761,2017 Hyundai Grand i10 CRDi Sportz,₹ 3.80 Lakh,2017,1120 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Diesel,70bhp,5.0,24 kmpl,Hatchback,Ahmedabad
3762,2021 Maruti Eeco 5 Seater AC 2020-2022,₹ 4.80 Lakh,2021,1196 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,72.41bhp,5.0,16.11 kmpl,Minivans,Ahmedabad
3763,2010 Maruti Wagon R VXI BS IV,₹ 1.80 Lakh,2010,998 cc,Third Party insurance,Manual,"90,000 Kms",Third Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3764,2010 Maruti Wagon R VXI BS IV,₹ 2.11 Lakh,2010,998 cc,Third Party insurance,Manual,"90,000 Kms",Third Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3765,2014 Maruti Wagon R LXI CNG,₹ 3.04 Lakh,Jun 2014,998 cc,Third Party,Manual,"1,04,620 Kms",Third Owner,CNG,58.16bhp,5.0,26.6 kmpl,Hatchback,Ahmedabad
3766,2018 Hyundai i20 1.2 Magna Executive,₹ 5.79 Lakh,Jun 2018,1197 cc,Third Party,Manual,"1,05,516 Kms",First Owner,Petrol,81.83bhp,5.0,18.6 kmpl,Hatchback,Ahmedabad
3767,2018 Maruti Eeco CNG 5 Seater AC BSIV,₹ 4.52 Lakh,Jun 2018,1196 cc,Third Party,Manual,"64,485 Kms",Second Owner,CNG,61.7bhp,5.0,21.94 km/kg,Minivans,Ahmedabad
3768,2021 Tata Nexon XZ Plus HS,₹ 10.23 Lakh,Jun 2021,1199 cc,Third Party,Manual,"28,288 Kms",First Owner,Petrol,118.36bhp,5.0,17.57 kmpl,SUV,Ahmedabad
3769,2015 Toyota Etios G,₹ 4.15 Lakh,Jun 2015,1496 cc,Third Party,Manual,"71,004 Kms",First Owner,Petrol,88.73bhp,5.0,16.78 kmpl,Sedan,Ahmedabad
3770,2013 Maruti Wagon R VXI BS IV,₹ 3.25 Lakh,Jun 2013,998 cc,Third Party,Manual,"66,365 Kms",First Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3771,2021 Tata New Safari XZ Plus BSVI,₹ 19.31 Lakh,Jun 2021,1956 cc,Zero Dep,Manual,"25,629 Kms",First Owner,Diesel,167.67bhp,7.0,16.14 kmpl,SUV,Ahmedabad
3772,2017 Maruti Eeco 5 Seater AC BSIV,₹ 4.70 Lakh,Jun 2017,1196 cc,Comprehensive,Manual,"41,771 Kms",First Owner,Petrol,73bhp,5.0,15.37 kmpl,Minivans,Ahmedabad
3773,2021 Kia Sonet HTK Plus BSVI,₹ 8.62 Lakh,Jun 2021,1197 cc,Comprehensive,Manual,"15,668 Kms",First Owner,Petrol,81.86bhp,5.0,18.4 kmpl,SUV,Ahmedabad
3774,2022 Hyundai Verna SX IVT,₹ 12.89 Lakh,Jun 2022,1497 cc,Comprehensive,Automatic,"16,330 Kms",First Owner,Petrol,113.18bhp,5.0,18.45 kmpl,Sedan,Ahmedabad
3775,2015 Volkswagen Vento 1.5 TDI Highline,₹ 5.13 Lakh,Jan 2016,1498 cc,Third Party,Manual,"81,113 Kms",Second Owner,Diesel,103.2bhp,5.0,20.34 kmpl,Sedan,Ahmedabad
3776,2018 Tata Tiago 1.2 Revotron XZA,₹ 4.46 Lakh,Apr 2019,1199 cc,Third Party insurance,Automatic,"1,20,830 Kms",First Owner,Petrol,83.83bhp,5.0,23.84 kmpl,Hatchback,Ahmedabad
3777,2011 Volkswagen Polo Diesel Highline 1.2L,₹ 2 Lakh,2011,1199 cc,Third Party insurance,Manual,"90,000 Kms",Fifth Owner,Diesel,73.9bhp,5.0,22.07 kmpl,Hatchback,Ahmedabad
3778,2010 Honda City V AT,₹ 5 Lakh,2010,1497 cc,Third Party insurance,Automatic,"1,20,000 Kms",First Owner,Petrol,116.3bhp,5.0,15.6 kmpl,Sedan,Ahmedabad
3779,2009 Hyundai i10 Magna 1.2,₹ 1.57 Lakh,2009,1197 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Petrol,78.9bhp,5.0,20.36 kmpl,Hatchback,Ahmedabad
3780,2014 Mahindra Thar CRDe AC,₹ 5 Lakh,2014,2498 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Diesel,105bhp,6.0,16.55 kmpl,SUV,Ahmedabad
3781,2012 BMW 6 Series 640d Coupe,₹ 30.50 Lakh,2012,2993 cc,Third Party insurance,Automatic,"60,000 Kms",Second Owner,Diesel,313bhp,4.0,9.52 kmpl,BMW,Ahmedabad
3782,2013 Renault Duster 110PS Diesel RxZ,₹ 4 Lakh,2013,1461 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,108.45bhp,5.0,19.01 kmpl,SUV,Ahmedabad
3783,2009 Honda City 1.5 S MT,₹ 2.65 Lakh,2009,1497 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,"118PS at 6,600 rpm",5.0,17 kmpl,Sedan,Ahmedabad
3784,2012 Toyota Fortuner 4x4 MT,₹ 8 Lakh,2012,2982 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,168.5bhp,7.0,12.55 kmpl,SUV,Ahmedabad
3785,2012 Maruti Swift VDI,₹ 3.26 Lakh,Sept 2012,1248 cc,Comprehensive,Manual,"1,14,919 Kms",Third Owner,Diesel,74bhp,5.0,22.9 kmpl,Hatchback,Ahmedabad
3786,2015 Honda Jazz 1.2 S AT i VTEC,₹ 3.95 Lakh,Oct 2015,1199 cc,Third Party,Automatic,"1,12,010 Kms",Second Owner,Petrol,88.7bhp,5.0,19 kmpl,Hatchback,Ahmedabad
3787,2015 Maruti Ciaz ZDi Plus SHVS,₹ 5.28 Lakh,Jan 2016,1248 cc,Comprehensive,Manual,"98,295 Kms",First Owner,Diesel,88.5bhp,5.0,28.09 kmpl,Sedan,Ahmedabad
3788,2018 Maruti Alto 800 LXI,₹ 3.18 Lakh,Jul 2018,796 cc,Third Party,Manual,"12,496 Kms",Second Owner,Petrol,47.33bhp,5.0,22.05 kmpl,Hatchback,Ahmedabad
3789,2019 Renault Triber RXT,₹ 5.29 Lakh,Nov 2019,999 cc,Zero Dep,Manual,"33,367 Kms",Second Owner,Petrol,71.01bhp,7.0,20 kmpl,MUV,Ahmedabad
3790,2021 Tata Tiago XT BSVI,₹ 5.64 Lakh,Mar 2021,1199 cc,Third Party,Manual,"25,220 Kms",First Owner,Petrol,84.82bhp,5.0,19.01 kmpl,Hatchback,Ahmedabad
3791,2018 Maruti Alto 800 LXI,₹ 2.95 Lakh,Jun 2018,796 cc,Third Party insurance,Manual,"71,424 Kms",First Owner,Petrol,47.33bhp,5.0,22.05 kmpl,Hatchback,Ahmedabad
3792,2018 Honda Amaze S Petrol BSIV,₹ 6.64 Lakh,Sept 2018,1199 cc,Zero Dep,Manual,"33,195 Kms",First Owner,Petrol,88.76bhp,5.0,19.5 kmpl,Sedan,Ahmedabad
3793,2012 Hyundai i10 Magna 1.1L,₹ 2.68 Lakh,Jan 2013,1086 cc,Third Party,Manual,"66,858 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Ahmedabad
3794,2016 Honda Amaze E i-Vtech,₹ 4.20 Lakh,Oct 2016,1198 cc,Comprehensive,Manual,"57,245 Kms",First Owner,Petrol,86.7bhp,5.0,18 kmpl,Sedan,Ahmedabad
3795,2016 Maruti Celerio ZXI,₹ 4.16 Lakh,Jun 2016,998 cc,Zero Dep,Manual,"53,494 Kms",First Owner,Petrol,65.71bhp,5.0,25.24 kmpl,Hatchback,Ahmedabad
3796,2011 Maruti Swift 1.2 VDI BSII,₹ 2.90 Lakh,2011,1248 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,,5.0,17.8 kmpl,Hatchback,Ahmedabad
3797,2021 Maruti Alto 800 LXI S-CNG,₹ 4.50 Lakh,2021,796 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,CNG,40.36bhp,4.0,31.59 km/kg,Hatchback,Ahmedabad
3798,2010 Maruti Wagon R LXI BSIII,₹ 1.78 Lakh,2010,998 cc,Third Party insurance,Manual,"70,000 Kms",Third Owner,Petrol,67.1bhp,5.0,18.9 kmpl,Hatchback,Ahmedabad
3799,2019 Mahindra XUV500 W11 Option BSIV,₹ 12 Lakh,2019,2179 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,152.87bhp,7.0,15.1 kmpl,SUV,Ahmedabad
3800,2008 Honda Civic 1.8 V MT,₹ 1.90 Lakh,2008,1799 cc,Third Party insurance,Manual,"60,000 Kms",Fourth Owner,Petrol,130bhp,5.0,13.5 kmpl,Sedan,Ahmedabad
